VILLADOSSOLA;00001;830000001
PALLANZENO;00002;830000002
PIEDIMULERA;00003;830000003
PIEVE VERGONTE;00004;830000004
ORNAVASSO;00006;830000006
GRAVELLONA TOCE;00007;830000007
OMEGNA-CRUSINALLO;00008;830000008
OMEGNA;00010;830000010
PETTENASCO;00011;830000011
ORTA-MIASINO;00012;830000012
CORCONIO AMENO;00013;830000013
BOLZANO NOVARESE;00014;830000014
GOZZANO;00015;830000015
BORGOMANERO;00016;830000016
CRESSA-FONTANETO;00017;830000017
SUNO;00018;830000018
MOMO;00019;830000019
CALTIGNAGA;00020;830000020
VIGNALE;00021;830000021
VAPRIO D'AGOGNA;00022;830000022
SOLOGNO;00023;830000023
GARBAGNA;00030;830000030
VESPOLATE;00031;830000031
BORGO LAVEZZARO;00032;830000032
ALBONESE;00033;830000033
MORTARA;00034;830000034
TORINO PORTA SUSA SOTTERRANEA;00035;830000035
OLEVANO;00036;830000036
VALLE LOMELLINA;00037;830000037
SARTIRANA;00038;830000038
TORREBERETTI;00039;830000039
VALENZA;00041;830000041
VALMADONNA;00042;830000042
COMIGNAGO;00050;830000050
CUREGGIO;00051;830000051
GATTINARA;00052;830000052
ROVASENDA;00053;830000053
BURONZO;00054;830000054
CARISIO;00055;830000055
ROVASENDA ALTA;00056;830000056
GRUGLIASCO;00059;830000059
TORINO REBAUDENGO FOSSATA;00060;830000060
BIELLA S. PAOLO;00070;830000070
CANDELO;00071;830000071
SANDIGLIANO;00072;830000072
VERGNASCO;00073;830000073
SALUSSOLA;00074;830000074
BRIANCO;00075;830000075
PINEROLO OLIMPICA;00082;830000082
TORINO MADONNA DI CAMPAGNA;00083;830000083
RIGOLA-STADIO;00084;830000084
VENARIA;00085;830000085
BORGARO TORINESE;00086;830000086
CASELLE;00087;830000087
CASELLE TORINESE AEROPORTO;00088;830000088
SAN MAURIZIO CANAVESE;00089;830000089
CIRE';00090;830000090
NOLE;00091;830000091
VILLANOVA-GROSSO;00092;830000092
MATHI;00093;830000093
BALANGERO;00094;830000094
LANZO TORINESE;00095;830000095
GERMAGNANO;00096;830000096
VARALLO SESIA;00100;830000100
ROCCAPIETRA;00101;830000101
QUARONA;00102;830000102
VANZONE-ISOLELLA;00103;830000103
BORGOSESIA;00104;830000104
VALDUGGIA;00105;830000105
GRIGNASCO;00106;830000106
PRATO SESIA;00108;830000108
ROMAGNANO SESIA;00109;830000109
GHEMME;00110;830000110
SIZZANO;00111;830000111
FARA;00112;830000112
BRIONA;00113;830000113
FUNGHERA;00114;830000114
TRAVES;00115;830000115
LOSA;00116;830000116
PESSINETTO;00117;830000117
MEZZENILE;00118;830000118
CERES;00119;830000119
PRE SAINT DIDIER;00130;830000130
MORGEX;00131;830000131
LA SALLE;00132;830000132
AVISE;00133;830000133
ARVIER;00134;830000134
VILLENEUVE;00135;830000135
SARRE;00136;830000136
AOSTA;00137;830000137
QUART;00138;830000138
SAINT MARCEL;00139;830000139
NUS;00140;830000140
CHAMBAVE;00141;830000141
CHATILLON-SAINT VINCENT;00142;830000142
AOSTA ISTITUTO;00143;830000143
MONTJOVET;00144;830000144
VERRES;00145;830000145
AOSTA VIALE EUROPA;00146;830000146
HONE-BARD;00147;830000147
DONNAS;00148;830000148
PONT SAINT MARTIN;00149;830000149
QUINCINETTO;00150;830000150
SETTIMO-TAVAGNASCO;00151;830000151
BORGOFRANCO;00152;830000152
MONTALTO DORA;00153;830000153
IVREA;00154;830000154
STRAMBINO;00155;830000155
MERCENASCO;00156;830000156
CANDIA CANAVESE;00157;830000157
CALUSO;00158;830000158
RODALLO;00159;830000159
MONTANARO;00160;830000160
SAINT PIERRE;00161;830000161
DERBY;00162;830000162
VEROLENGO;00170;830000170
BORGO REVEL;00171;830000171
CRESCENTINO;00172;830000172
S. SILVESTRO;00173;830000173
FONTANETTO PO;00174;830000174
PALAZZOLO VERCELLESE;00175;830000175
TRINO VERCELLESE;00176;830000176
MORANO SUL PO;00177;830000177
BALZOLA;00178;830000178
CASALE POPOLO;00179;830000179
BARDONECCHIA CONFINE;00201;830000201
BARDONECCHIA;00202;830000202
BEAULARD;00203;830000203
OULX-CESANA-CLAVIERE-SESTRIERE;00204;830000204
SALBERTRAND;00205;830000205
CHIOMONTE;00206;830000206
MEANA;00207;830000207
BUSSOLENO;00208;830000208
BRUZOLO DI SUSA;00209;830000209
BORGONE;00210;830000210
S. ANTONINO-VAIE;00211;830000211
CONDOVE-CHIUSA S. MICHELE;00212;830000212
S. AMBROGIO;00213;830000213
AVIGLIANA;00214;830000214
ROSTA;00215;830000215
ALPIGNANO;00216;830000216
COLLEGNO;00217;830000217
TORINO PORTA NUOVA;00219;830000219
TORINO ORBASSANO;00220;830000220
TORINO PORTA SUSA;00222;830000222
TORINO S. PAOLO;00223;830000223
TORINO DORA;00224;830000224
TORINO VANCHIGLIA;00227;830000227
TORINO STURA;00228;830000228
SETTIMO;00229;830000229
BRANDIZZO;00231;830000231
CHIVASSO;00232;830000232
CASTELROSSO;00233;830000233
TORRAZZA PIEMONTE;00234;830000234
SALUGGIA;00235;830000235
S. ANTONINO DI SALUGGIA;00236;830000236
LIVORNO FERRARIS;00237;830000237
BIANZE';00238;830000238
TRONZANO;00239;830000239
SANTHIA;00240;830000240
S. GERMANO VERCELLESE;00243;830000243
OLCENENGO;00244;830000244
VERCELLI;00245;830000245
BORGO VERCELLI;00246;830000246
PONZANA;00247;830000247
NOVARA;00248;830000248
EXILLES;00251;830000251
TRECATE;00252;830000252
MODANE GARE;00253;830000253
SUSA;00260;830000260
PALESTRO;00271;830000271
ROBBIO;00272;830000272
NICORVO;00273;830000273
GAMBOLO'-REMONDO';00274;830000274
TROMELLO;00275;830000275
GARLASCO;00276;830000276
GROPELLO CAIROLI;00277;830000277
VILLANOVA D'ARDENGHI;00278;830000278
CAVA CARBONARA;00279;830000279
ASIGLIANO VERCELLESE;00310;830000310
PERTENGO;00311;830000311
RIVE;00312;830000312
BALZOLA MARTINETTA;00313;830000313
CASALE MONFERRATO;00314;830000314
BORGO S. MARTINO;00315;830000315
GIAROLE;00316;830000316
VILLABELLA;00317;830000317
CASTEL D'AGOGNA;00330;830000330
ZEME;00331;830000331
COZZO;00332;830000332
CANDIA LOMELLINA;00333;830000333
TERRASA;00334;830000334
TERRANOVA MONFERRATO;00335;830000335
S. GIORGIO CASALE;00336;830000336
OZZANO MONFERRATO;00337;830000337
SERRALUNGA-CERESETO;00338;830000338
PONZANO MONFERRATO;00339;830000339
MONCALVO;00340;830000340
PENANGO;00341;830000341
TONCO-ALFIANO;00342;830000342
CASTELL'ALFERO;00343;830000343
PORTACOMARO;00344;830000344
S. MARZANOTTO;00345;830000345
MOLINI D'ISOLA;00346;830000346
ISOLA D'ASTI;00347;830000347
